GeoFIPS,GeoName,Region,Table,LineCode,IndustryClassification,Description,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
6000,California,8,CA30,90,...,"  Dividends, interest, and rent 2/",192614245,210465558,214567129,210462070,221897558,238713460,265782148,301610379,321668021,330544297,293107685,291582767,330202209,370567697,367755446,409832839,450755494,459386914
6000,California,8,CA30,100,...,  Population (persons) 3/,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37332685,37676861,38011074,38335203,38680810,38993940,39250017
6000,California,8,CA30,110,...,  Per capita personal income 4/,30474,33095,33671,33901,35234,37551,39521,42334,43692,44162,42224,43317,45849,48369,48570,51344,54718,56374
6000,California,8,CA30,120,...,  Per capita net earnings 4/,21220,23308,23516,23687,24573,26306,27368,28900,29500,29171,27770,28358,29952,31476,31613,32981,34853,36144
6000,California,8,CA30,130,...,  Per capita personal current transfer receipts 4/,3504,3595,3932,4178,4366,4535,4734,5060,5318,5961,6524,7148,7133,7145,7364,7768,8305,8526
6000,California,8,CA30,140,...,    Per capita income maintenance benefits 4/,574,572,561,591,621,651,687,707,728,753,832,881,904,905,917,927,922,898
6000,California,8,CA30,150,...,    Per capita unemployment insurance compensation 4/,81,74,101,206,207,147,126,121,139,218,518,594,466,366,279,157,135,134
6000,California,8,CA30,160,...,    Per capita retirement and other 4/,2849,2949,3270,3381,3538,3737,3920,4232,4452,4991,5173,5674,5763,5873,6169,6684,7248,7495
6000,California,8,CA30,170,...,"  Per capita dividends, interest, and rent 4/",5750,6192,6223,6035,6294,6710,7418,8373,8874,9030,7930,7810,8764,9749,9593,10595,11560,11704
6000,California,8,CA30,180,...,  Earnings by place of work,792289380,882511189,905963223,921921851,967010872,1045749755,1096239417,1160775669,1192383465,1194454934,1149102541,1182344787,1245166969,1317828505,1353565445,1425688101,1518146072,1584871378
6000,California,8,CA30,190,...,    Wages and salaries,565624705,638455163,648050300,646099056,666180133,705817557,742559187,791483995,834428905,842860549,799344874,814462982,848495011,903681066,934399366,992196893,1067528735,1116921813
6000,California,8,CA30,200,...,    Supplements to wages and salaries,116457039,129730291,139903003,148940043,163411750,180348072,189395632,194469921,200565620,204734415,197073594,203203651,219017675,220999140,231051338,241377763,253612384,261253823
6000,California,8,CA30,201,...,      Employer contributions for employee pension and insurance funds 5/,77574068,86814078,94323767,101513821,112537117,124018899,131093373,135706188,141955057,146394294,141604111,147673523,160424340,159447187,167463522,174136184,182169643,187163040
